@@,name,dob,position
->,Tete António->Téte António,NULL->1955-01-22,Ministro das Relações Exteriores
+++,Victor Francisco dos Santos Fernandes,1978-11-21,Ministro da Indústria e Comércio
+++,Teresa Rodrigues Dias,1965-02-04,"Ministra da Administração Pública, Trabalho e Segurança Social"
+++,Ricardo Daniel Sandão Queirós Veigas de Abreu,1969-09-10,Ministro dos Transportes
+++,Mário Augusto Caetano João,"",Ministro da Economia e Planeamento
+++,Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,1959-05-28,"Ministra do Ensino Superior, Ciência, Tecnologia e Inovação"
+++,Marcy Cláudio Lopes,1981-12-06,Ministro da Administração do Território
+++,Manuel Tavares de Almeida,1957-04-11,Ministro das Obras Públicas e Ordenamento do Território
+++,Manuel Gomes da Conceição Homem,1979-11-24,"Ministro das Telecomunicações, Tecnologias de Informação e Comunicação Social"
+++,Luísa Maria Alves Grilo,08 de Julho 1953,Ministra da Educação
+++,João Ernesto dos Santos,1954-01-15,Ministro da Defesa Nacional e Veteranos da Pátria
+++,João Baptista Borges,1964-01-04,Ministro da Energia e Águas
+++,Francisco Manuel Monteiro de Queiroz,1951-06-07,Ministro da Justiça e dos Direitos Humanos
+++,Faustina Fernandes Inglês de Almeida Alves,1956-06-09,"Ministra da Acção Social, Família e Promoção da Mulher"
+++,Eugênio César Laborinho,1955-01-10,Ministro do Interior
+++,Diamantino Pedro Azevedo,12 de Julho 1963,"Ministro dos Recursos Minerais, Petróleo e Gás"
+++,António Francisco de Assis,1956-09-23,Ministro da Agricultura e Pescas
+++,Ana Paula Sacramento Neto,1962-06-20,Ministra da Juventude e Desportos
