pageid,title
393727,Fernando da Piedade Dias dos Santos
5543223,João Bernardo de Miranda
8809290,Brito Sozinho
14233711,José João Manuel
14326296,João Manuel Bernardo
14368447,Ana Maria Teles Carreira
14859685,Gilberto Buta Lutucuta
14859767,Miguel Neto
14859782,Pedro Fernando Mavunza
14978364,António da Costa Fernandes
15001719,José Patrício
35728776,Carolina Cerqueira
54579350,João Lourenço
55096269,Bornito de Sousa
55886279,Maria Filomena de Fátima Lobão Telo Delgado
61778516,Margarida Rosa da Silva Izata
63810404,Maria de Jesus dos Reis Ferreira
64319240,Vera Daves
65534813,Teodolinda Rosa Rodrigues Coelho
65617263,Tete António
66270556,Geraldo Nunda
68043750,Joaquim do Espirito Santo
71062166,João Baptista Borges
