wanted,position,positionid,from,start,end
Q112038628,Permanent Representative to the United Nations,Q111974144,Q67365647,2018-05,
Q60865113,ambassador to South Africa,Q106210276,Q6280350,2011-06-07,2017-10
Q7159569,ambassador to South Africa,Q106210276,Q6280350,2011-06-07,2017-10
Q112032225,ambassador to Poland,Q112038577,Q5290422,2011,2019
Q15993139,ambassador to Egypt,Q111993598,Q5713736,2006-01-27,2011-09-12
Q112038537,ambassador to Sweden,Q111993658,Q5290422,2006,2011
Q7351774,ambassador to the Russian Federation,Q106303334,Q7412785,2006,2009
Q105491346,ambassador to Italy,Q112038470,Q6752791,2005,2011
Q112038596,ambassador to Slovakia,Q112038580,Q5290422,2002,2006
Q2857736,ambassador to the United States of America,Q105158857,Q6280350,2001-03-23,2011-09-01
