wdid,name,wdLabel,source,sourceDate,pid,position,start,psid
Q111954166,Adão Francisco Correia de Almeida,Adao Francisco Correia de Almeida,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040101,Ministro de Estado e Chefe da Casa Civil do Presidente da República,2020-01-01,Q111954166-024674D2-6B1C-47ED-8A04-18CBE43B6851
Q5044792,Carolina Cerqueira,Carolina Cerqueira,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040215,Ministra de Estado para Área Social,2019-01-01,Q5044792-5F403A4D-55F9-4F09-9FA9-F04B5B96CED9
Q100454932,Edeltrudes Maurício Fernandes Gaspar da Costa,Edeltrudes Costa,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040235,Ministro e Director do Gabinete do Presidente da República,2017-09-27,Q100454932-E4F389A2-2BA0-4BCA-AC91-BA472927ADE8
Q112040296,Edson Ulisses de Carvalho Alves Barreto,Edson Ulisses de Carvalho Alves Barreto,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040297,Director do Gabinete de Quadros do Presidente da República,2017-09-27,Q112040296-5AA2D9CD-9B49-4CD5-BE6E-CCE31510642F
Q111974267,Fernando Bartolomeu Cativa,Fernando Bartolomeu Cativa,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040247,Secretário do Presidente da República para os Assuntos Políticos e Parlamentares,2017-09-27,Q111974267-A6B7B05B-BD7C-468C-BEFD-37C101D668A9
Q112040285,Francisco João de Carvalho Neto,Francisco João de Carvalho Neto,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040286,Secretário do Presidente da República para os Assuntos Judiciais e Jurídicos,2017-09-27,Q112040285-382760B5-8336-464A-BADC-445B758120E2
Q111937240,Francisco Pereira Furtado,Francisco Pereira Furtado,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040230,Ministro de Estado e Chefe da Casa Militar do Presidente da República,2021-05-01,Q111937240-52FE5477-8BD6-47BE-B805-41669D152C57
Q112040244,Félix de Jesus Cala,Félix de Jesus Cala,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040245,Secretário-Geral do Presidente da República,2017-09-27,Q112040244-90B79193-F670-4170-A52B-75E6E4DCA581
Q105491321,Isaac Francisco Maria dos Anjos,Isaac Francisco Maria dos Anjos,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040269,Secretário do Presidente da República para o Sector Produtivo,2017-10-01,Q105491321-465425E3-B07E-4C18-9995-32D112FE085B
Q112040294,Luís Fernando,Luís Fernando,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040295,Secretário do Presidente da República para os Assuntos de Comunicação Institucional e Imprensa,2017-09-27,Q112040294-C803D1A7-3C2B-4D8B-9AA8-85A503B57BFC
Q111954409,Manuel Nunes Junior,Manuel Nunes Junior,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040079,Ministro de Estado para a Coordenação Económica,2017-09-30,Q111954409-B2D12D19-33B9-47F6-BBC7-5A57AA0EF802
Q112040291,Maria de Fátima Republicano de Lima Viegas,Maria de Fátima Republicano de Lima Viegas,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040292,Secretário do Presidente da República para os Assuntos Sociais,2017-09-27,Q112040291-852BC574-97ED-487C-8EEC-5876A1468D37
Q112040288,Pedro Fiete Correia Raimundo,Pedro Fiete Correia Raimundo,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040290,Secretário do Presidente da República para a Reforma do Estado,2017-09-27,Q112040288-A5E70A1A-36D0-4252-9CDB-FC7B456128A4
Q112040242,Sebastião Domingos Gunza,Sebastião Domingos Gunza,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040238,Inspector Geral da Administração do Estado,2017-09-27,Q112040242-3198F37B-804A-4D5E-9DA2-F7ED49A6A22D
Q112040283,Victor Hugo Guilherme,Victor Hugo Guilherme,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040284,Secretário do Presidente da República para os Assuntos Económicos,2017-09-27,Q112040283-27CA1FA2-B384-4670-B6E5-1BF8715320B4
Q23304145,Victor Manuel Rita da Fonseca Lima,Victor Manuel Rita da Fonseca Lima,https://governo.gov.ao/ao/presidencia/orgaos-auxiliares/,2022-05-16,Q112040258,Secretário do Presidente da República para os Assuntos Diplomáticos e de Cooperação Internacional,2017-09-27,Q23304145-1C4042B6-4BEA-4274-B626-C6701410EEC6
