raw,transformed,position
Vice-President,Vice President,Q3382672
Prime Minister,Prime Minister,Q20706562
Agriculture,Minister of Agriculture,Q111945427
Agriculture and Forestry,Minister of Agriculture and Forestry,Q111945391
Agriculture and Rural Development,Minister of Agriculture and Rural Development,Q111945531
Assistance and Social Reintegration,Minister of Assistance and Social Reintegration,Q111945533
Commerce,Minister of Commerce,Q111945539
Construction,Minister of Construction,Q111945541
Construction and Public Works,Minister of Construction and Public Works,Q111945542
Culture,Minister of Culture,Q65081943
Defence,Minister of Defence,Q54416499
Economic and Social Development,Minister of Economic and Social Development,Q111945544
Economy,Minister of Economy,Q111945546
Economy and Planning,Minister of Economy and Planning,Q65081971
Education,Minister of Education,Q65081999
Energy and Water,Minister of Energy and Water,Q65082136
Environment,Minister of Environment,Q111945547
Family Issues and the Promotion of Women,Minister of Family Issues and the Promotion of Women,Q111945548
Finance,Minister of Finance,Q6866123
Fishing,Minister of Fishing,Q111945550
Foreign Affairs,Minister of Foreign Affairs,Q54417158
Geology and Mines,Minister of Geology and Mines,Q111945551
Health,Minister of Health,Q108282421
Higher Education,Minister of Higher Education,Q111945552
"Higher Education, Science and Technology","Minister of Higher Education, Science, Technology and Innovation",Q109984666
Hotel and Tourism,Minister of Hotel and Tourism,Q111945555
Human Rights,Minister of Human Rights,Q111945556
Industry,Minister of Industry,Q111945557
Interior,Minister of the Interior,Q54479352
Justice,Minister of Justice,Q111945559
Justice and Human Rights,Minister of Justice and Human Rights,Q109984660
"Labour, Public Administration and Social Security","Minister of Labour, Public Administration and Social Security",Q111945561
News Media,Minister of News Media,Q111945562
Parliamentary Issues,Minister of Parliamentary Issues,Q111945564
Petroleum,Minister of Mineral Resources and Petroleum,Q54483257
Planning,Minister of Planning,Q111945565
Planning and Territorial Development,Minister of Planning and Territorial Development,Q111945566
Posts and Telecommunications,Minister of Posts and Telecommunications,Q111945569
"Public Administration, Labour and Social Security","Minister of Public Administration, Labour and Social Security",Q65081689
Public Works,Minister of Public Works,Q65081611
Public Works and Urban Affairs,Minister of Public Works and Urban Affairs,Q111945570
Science and Technology,Minister of Science and Technology,Q111945571
Security Household,Minister of Security Household,Q111945573
"Social Action, Family and the Promotion of Women","Minister of Social Action, Family and Gender Promotion",Q65081634
Social Communications,Minister of Social Communications,Q111945575
Telecommunications and Information Technologies,Minister of Telecommunications and Information Technologies,Q109984669
Territorial Administration,Minister of Territorial Administration,Q65081666
Territory and State Reform,Minister of Territory and State Reform,Q111945576
Trade,Minister of Trade,Q111945578
Transport,Minister of Transport,Q109984664
Urban Affairs and Construction,Minister of Urban Affairs and Construction,Q111945579
Urban Affairs and Environment,Minister of Urban Affairs and Environment,Q111945580
Urban Affairs and Housing,Minister of Urban Affairs and Housing,Q111945583
Urban Planning and Housing,Minister of Urban Planning and Housing,Q111945584
Urbanism and Housing,Minister of Urbanism and Housing,Q111945585
War Veterans,Minister of War Veterans,Q111945587
Women's Affairs,Minister of Women's Affairs,Q111945588
Youth and Sport,Minister of Youth and Sports,Q109984686
